Hul’q‘umi’num’ orthography,Hul’q’umi’num’ APA,hən̓q̓əmin̓əm̓
ch,č,čxʷ
’ul’,ʔəl̕,ʔal̕
’umshasum’,ʔəmšasəm,ʔəmxasəm
’i’mush,ʔim̓əš,ʔim̓əx
’imush,ʔiməš,ʔiməx
’i’mushasum’,ʔim̓əšasəm,ʔim̓əxasəm
hakwushus,hakʷəšəs,hakʷəxəs
ha’kwushe’wut,haʔkʷəšew̓ət,haʔkʷəxew̓ət
hakwushs,hakʷəšs,hakʷəxs
shuptun,šəptən,ɬec̓tən
lamtul,lamtəl,k̓ʷecətəl
lemutus,lemətəs,k̓ʷecətəs
lumnum,ləmnəm,k̓ʷəcnəm
lumtsunum,ləmtsənəm,k̓ʷəcənəm
lumnuhw,ləmnəxʷ,k̓ʷəcnəxʷ
lumnuhwus,ləmnəxʷəs,k̓ʷəcnəxʷəs
lumstam,ləmstam,k̓ʷəcstam
le’lum’ut,lel̕əmət,k̓ʷek̓ʷəcət
le’lum’utus,lel̕əm̓ətəs,k̓ʷek̓ʷəcətəs
le’lum’nuhw,lel̕əmnəxʷ,k̓ʷek̓ʷəcnəxʷ
nuw’ilum,nəw̓iləm,kʷətxʷiləm
neets,ne:ts,kʷi:xəts
kwthey’,kʷθey̓,kʷθeʔ
mustimuhw,məstiməxʷ,məsteyəxʷ
she’ituns,šeʔitəns,meqəns
nilh,niɬ,ƛ̓a
nuw’,nəw̓,niw̓
yuxwule’,yəx̌ʷəleʔ,p̓aq̓əs
q’um’q’umunulhp,q̓əm̓q̓əmənəɬp,q̓əm̓q̓əmələɬp
hwu’a’lum’,xʷəʔaləm̓,q̓anθət
qeq,qeq,qeqələ
qwuni’,qʷəniʔ,qʷəlitəq
tl’lim’,ƛ̓lim,sc̓ec̓ən̓
siin’lhqi’,si:n̓ɬqəy̓,sʔi:ɬqəy̓
sus ’uw’,səsəw̓,sisəw̓
snes,snes,skʷixs
slhunluni’,sɬənɬənəy̓,sɬənɬenəy̓
smunmunut,smənmənət,smənme:nt
stulitqeeye’,stəlitqe:yeʔ,stəlitqayeʔ
stl’uli’qulh,sƛ̓əliqəɬ,steʔəxʷəɬ
thi lelum’,θi leləm̓,sθe:w̓txʷ
sqw’ulqw’ulesh,sq̓ʷəlq̓ʷəleš,sq̓ʷəlq̓ʷəlex
stulqeeye’,stəlqe:yeʔ,stəlqayeʔ
stqeeye’,stqe:ye’,stqayeʔ
stqeeye’allh,stqe:yeʔalɬ,stqayeʔalɬ
stqeeye’us,stqe:yeʔəs,stqayeʔəs
skweyul,skʷeyəl,sweyəl
shtl’up’i’snuts,šƛ̓əp̓iʔsnəc,sxʷƛ̓əpəlləc
shni’s,šniʔs,sxʷniʔs
shqwaluwuns,šqʷaləwəns,sxʷqʷeləwəns
tthu,tᶿə,tə
tthuw’,tθəw̓,təw̓
tthuw’nilh,tθəw̓niɬ,təwƛ̓a
thuw’nilh,θəw̓niɬ,θəwƛ̓a
tthey’,tθey̓,tθeʔ
wenshus,wenšəs,welxəs
lhwet,ɬwet,wet
shahwukw’um’,šaxʷək̓ʷəm̓,xaxʷək̓ʷəm̓
shahwukw’utus,šaxʷək̓ʷətəs,xaxʷək̓ʷətəs
shi’shkw’am’,šiʔšk̓ʷam̓,xiʔxk̓ʷam̓
shishuts’,šišəc̓,xixəc̓
p’e,p̓e,m̓ə
tthu,tᶿə,tu
tthey’,tᶿey̓,tᶿə